Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK019702;Wijk 02 Bredevoort;24.8
;WK019703;Wijk 03 Aalten Kern;24.4
;WK019704;Wijk 04 Dinxperlo;23.9
GM0200;Totaal;Apeldoorn;27.6
;WK020001;Centrum;29.4
;WK020002;West;30.9
;WK020003;Zuidwest;28.5
;WK020004;Zuid;23.7
;WK020005;Zuidoost;24.6
;WK020006;Oost;30
;WK020007;Noordoost;24.6
;WK020008;Noord;31.1
;WK020010;Uddel en omgeving;25.8
;WK020011;Hoog Soeren en Radio Kootwijk;39.2
;WK020012;Hoenderloo en omgeving;31.5
;WK020013;Loenen en omgeving;29.7
;WK020014;Beekbergen en omgeving;30.5
;WK020015;Lieren en omgeving;29
;WK020016;Klarenbeek en omgeving;28.4
;WK020017;Wenum Wiesel Beemte;30.4
GM0202;Totaal;Arnhem;26.3
;WK020201;Centrum;28.8
;WK020202;Spijkerkwartier;27.9
;WK020203;Arnhemse Broek;21.1
;WK020204;Presikhaaf-West;18.7
;WK020205;Presikhaaf-Oost;21.9
;WK020206;St. Marten/Sonsbeek;31
;WK020207;Klarendal;24.2
;WK020208;Velperweg e.o.;33.8
;WK020209;Alteveer/Cranevelt;32.4
;WK020210;Geitenkamp;19.3
;WK020211;Monnikenhuizen;29.1
;WK020212;Burgemeesterswijk/Hoogkamp;40.7
;WK020213;Schaarsbergen;33.4
;WK020214;Heijenoord/Lombok;31.2
;WK020215;Klingelbeek e.o.;38.5
;WK020216;Malburgen-West;23.2
;WK020217;Malburgen-Oost (Noord);23
;WK020218;Malburgen-Oost (Zuid);17.3
;WK020219;Vredenburg/Kronenburg;24.1
;WK020220;Elden;27.8
;WK020221;Elderveld;23.2
;WK020222;De Laar;24.8
;WK020223;Rijkerswoerd;26.4
;WK020224;Schuytgraaf;29.1
GM0203;Totaal;Barneveld;25.4
;WK020354;Wijk 54 Barneveld;24.4
;WK020355;Wijk 55 Voorthuizen;26.9
;WK020356;Wijk 56 Kootwijkerbroek;24.3
;WK020357;Wijk 57 Garderen;29.3
;WK020358;Wijk 58 Terschuur;27.8
;WK020359;Wijk 59 Stroe;26
;WK020360;Wijk 60 Zwartebroek;28
;WK020361;Wijk 61 De Glind;25.9
;WK020362;Wijk 62 Kootwijk;36.6
;WK020363;Wijk 63 Achterveld;33.4
GM0209;Totaal;Beuningen;28.7
;WK020901;Beuningen;29.3
;WK020902;Ewijk;27.6
;WK020903;Weurt;26.6
;WK020904;Winssen;28.6
GM0213;Totaal;Brummen;27.4
;WK021301;Wijk 01 Empe;30.8
;WK021302;Wijk 02 Tonden;31.1
;WK021303;Wijk 03 Brummen;26.7
;WK021304;Wijk 04 Leuvenheim;28.8
;WK021305;Wijk 05 Hall;30.4
;WK021306;Wijk 06 Eerbeek;27.3
GM0214;Totaal;Buren;29.2
;WK021400;Wijk 00 Buren;31
;WK021401;Wijk 01 Beusichem;31.7
;WK021402;Wijk 02 Zoelen;30.1
;WK021403;Wijk 03 Lienden;27.4
;WK021404;Wijk 04 Ingen;28.3
;WK021405;Wijk 05 Maurik;28
;WK021406;Wijk 06 Ravenswaaij;31.8
GM0216;Totaal;Culemborg;28.4
;WK021600;Culemborg Oost;27.1
;WK021601;Culemborg West;30.2
GM0221;Totaal;Doesburg;25.5
;WK022101;Wijk 01;25.5
GM0222;Totaal;Doetinchem;25.8
;WK022201;Wijk 01 Doetinchem Centrum;29.2
;WK022202;Wijk 02;22.1
;WK022203;Wijk 03;24.8
;WK022204;Wijk 04;27.5
